Lessee Name,Car Mark,FMS Lessee Number,Contract,Contract Expiration,Primary Commodity,CSR,CSL,Commericial,Past Region,2026 Region,Jacketed,Lined,Lining Type,Car Age,Mark,Number,Mark2,Car Type Level 2,Min (no lining),Min w lining,Interior Lining,Rule 88B ,Safety Relief,Service Equipment ,Stub Sill,Tank Thickness,Tank Qualification,Portfolio,Car,Year,Cars & Year,Full/Partial Qual,Reason Shopped,Perform Tank Qual,Scheduled,Current Status,Adjusted Status,Plan Status,AITX Fleet Services of Canada Inc. (Sarnia),AITX Railcar Services LLC (N Kansas City),AITX Mini/Mobile Unit 93 (Mounds),AITX Mobile Headquarters (LaPorte),AITX Mobile Operations (Houston),AITX Railcar Services LLC (Brookhaven),AITX Railcar Services LLC (Bude),AITX Railcar Services LLC (Longview),AITX Railcar Services LLC (Tennille),AITX Repair-KCK MRU (Kansas City),"AITX Repair-Milton, PA MRU","AITX Repair-Sweetwater, TX MRU ",Apache Railway - Snowflake AZ (Snowflake),Blastech Corp (BRANTFORD),"CAD Railway Services (Lachine, Montreal)","CALTRAX, Inc. (Calgary)",CANDO Rail Services (Oakbank),Cathcart (Amarillo) (Amarillo),Cathcart (Elk Mills) (Elk Mills),Cathcart - Hinton (Hinton),Cathcart (Lynchburg) (Lynchburg),Cathcart - Kansas City (Kansas City),Cathcart - Maumee (Maumee),Cathcart Rail - Hastings (Hastings),Curry Rail Services - Hollidaysburg PA (Hollidaysburg),Curry Rail Services Hockley (Hockley),Curry Rail Services Shoshoni (Shoshoni),Eagle Railcar (Cairo),Eagle Railcar (Channelview) (Eastland),Eagle Railcar (DuBois),Eagle Railcar (Elkhart),Eagle Railcar (Fitzgerald),Eagle Railcar (Gordon),Eagle Railcar (Junction City),Eagle Railcar (Longview),Eagle Railcar-Georgetown/Orange (Georgetown),Eagle Railcar Services (Orange),Eagle Railcar Services (Roscoe),Eagle Railcar (Washington),Eagle Railcar (Wichita Falls),"Frit Car and Equipment, Inc. (Brewton)","Frit Car and Equipment, Inc. (Bridgeton)",Greenbrier Repair & Services (Cleburne),Greenbrier Repair & Services (Finley),Greenbrier Repair-Central (Marmaduke),"Greenbrier Rail Services (Omaha, NE)","H.C. Chandler and Son, Inc. (Plantersville)",Iron Horse Rail Services (Beaumont),KRS Katahdin Railcar Services  (Bangor),"Midwest Railcar Repair, Inc. (Brandon (Corson))","PSC Repair (Beaumont, TX)",Procor Limited (N. Van),Procor Limited (Joffre),Procor Limited (Sarnia),"Procor - Transmark (Lethbridge, AB)","Rescar (Savanna, IL)","TLC Rail Services/Inserv-Wright City (Wright City, OK)","TMC Engineering Services (Houston, TX)",TNT Repair Services (Longview),Transco (Texarkana),Transco Rail (Sayre),Transco Railway (Oelwein),"Transco Railway Products, Inc. (Miles City)","Transco-Sheldon, TX (Houston)","Transitech, Inc. (Fordyce)","Trinity Industries, Inc. (Ft. Worth)","Trinity Industries, Inc. (Saginaw)","Trinity Rail Services (Shell Rock, IA)","Trinity Rail - Sunray (Sunray, TX)","Red River Coatings (Nash, TX)",Rescar #380 (Deer Park),"Texana Midway Tank Cleaning (Texarkana, TX)",VLS RECOVERY SERVICES  - Hockley (hockley),Column1,
ADM Transportation Company,SHQX009721,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009721,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097212025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,8/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2025,
ADM Transportation Company,SHQX009722,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009722,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097222025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Enroute,2029,,,,,,,,,,,,,,,,,,,,,,,10/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/1/2025,
ADM Transportation Company,SHQX009723,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009723,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097232025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/15/2025,,,,,,,,,,,,3/15/2025,
ADM Transportation Company,SHQX009724,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009724,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097242025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,To Be Routed,2029,,,,,,,,,,,,,,,,,,,,,,,12/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/1/2025,
ADM Transportation Company,SHQX009725,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009725,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097252025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/26/2025,,,,,,,,,,,,3/26/2025,
ADM Transportation Company,SHQX009726,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009726,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097262025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/19/2025,,,,,,,,,,,,2/19/2025,
ADM Transportation Company,SHQX009727,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009727,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097272025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025,,,,,,,,,,,,4/1/2025,
ADM Transportation Company,SHQX009728,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009728,,General Service Tank,2025,2025,,2029,2025,2025,2029,2025,2025,On Lease,Active,2025,SHQX0097282025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/2025,,,,,,,,,,,,6/1/2025,
ADM Transportation Company,SHQX009729,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009729,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097292025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2025,,,,,,,,,,,,8/1/2025,
ADM Transportation Company,SHQX009730,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009730,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097302025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2025,,,,,,,,,,,,7/1/2025,
ADM Transportation Company,SHQX009731,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009731,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097312025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025,,,,,,,,,,,,,,,,,,,,,4/1/2025,
ADM Transportation Company,SHQX009732,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009732,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097322025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/24/2025,,,,,,,,,,,,2/24/2025,
ADM Transportation Company,SHQX009733,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009733,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097332025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2025,,,,,,,,,,,,7/1/2025,
ADM Transportation Company,SHQX009734,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009734,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097342025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/1/2025,
ADM Transportation Company,SHQX009735,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009735,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097352025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/26/2025,,,,,,,,,,,,3/26/2025,
ADM Transportation Company,SHQX009736,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009736,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097362025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/9/2025,,,,,,,,,,,,3/9/2025,
ADM Transportation Company,SHQX009737,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009737,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097372025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,10/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/1/2025,
ADM Transportation Company,SHQX009738,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009738,,General Service Tank,2025,2025,,2030,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097382025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/15/2025,,,,,,,,,,,,2/15/2025,
ADM Transportation Company,SHQX009739,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009739,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097392025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025,,,,,,,,,,,,4/1/2025,
ADM Transportation Company,SHQX009740,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009740,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097402025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/24/2025,,,,,,,,,,,,2/24/2025,
ADM Transportation Company,SHQX009741,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009741,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097412025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,4/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025,
ADM Transportation Company,SHQX009742,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009742,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097422025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,6/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/2025,
ADM Transportation Company,SHQX009743,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009743,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097432025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025,,,,,,,,,,,,4/1/2025,
ADM Transportation Company,SHQX009744,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009744,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097442025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,To Be Routed,2029,,,,,,,,,,,,,,,,,,,,,,,12/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/1/2025,
ADM Transportation Company,SHQX009745,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009745,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097452025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2025,,,,,,,,,,,,7/1/2025,
ADM Transportation Company,SHQX009746,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009746,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097462025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/1/2025,,,,,,,,,,,,,,,,,,,,,5/1/2025,
ADM Transportation Company,SHQX009747,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009747,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097472025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2025,,,,,,,,,,,,8/1/2025,
