"Action,Id,ShopName,ShopNameDisplay,ShopStatus,ShopType,SPLC,SCAC,Address1,Address2,City,State,Zip,IsAITXShop,CertifcationClass,CertificationDate,CertificateExpiration,Comment,CurrencyCode,DeliveryLines,DisplayOnCustomerMap,DisplayOnWebPortal,Email,EnvironmentalReview,Fax,LaborRate,Latitude,Longitude,LogoURL,Phone,SAP,Website,EnterDate,EnterUserId,LastEditDate,LastEditUserId,Last Verified,,,,"
",2082,Aitx Mini/Mobile Unit 92,AITX Mini/Mobile Unit 92 (Keenesburg),Active,Repair: Mini Mobile,742325000,,,,Keenesburg,CO,80643,Yes,,,,,,,No,No,,No,,,,,,,1005068,,2017-09-26 10:44:49,35,2020-07-24 09:24:48,3492,2025-03-03,,,,"
",2023,Aitx Mini/Mobile Unit 93,AITX Mini/Mobile Unit 93 (Mounds),Active,Repair: Mini Mobile,,,,,Mounds,IL,nan,Yes,,,,""ER&R  C/O AITX  200 Industrial Park Road  Mounds, IL  CN delivery  "",,CN,No,No,Berwin@aitx.com,No,,,,,,,1005068,,2016-03-01 00:00:00,1,2023-06-14 14:33:14,3492,2025-03-03,,,,"
",2081,Aitx Mini/Mobile Unit 94,AITX Mini/Mobile Unit 94 (Hastings),Active,Repair: Mini Mobile,558130000,,,,Hastings,NE,nan,Yes,,,,,,,No,No,,No,,,,,,,1005068,,2017-05-23 09:02:22,11,2020-07-24 09:32:56,3492,2025-03-03,,,,"
",4,Aitx Mini/Mobile Unit1,AITX Mini/Mobile Unit1 (Corpus Christi),Active,Repair: Mini Mobile,689100000,,PO BOX 98,,Corpus Christi,TX,78359,Yes,,,,,,,No,No,,No,(713) 476-5648,,,,,,0,,2007-04-01 00:00:00,1,2020-07-24 09:33:30,3492,2025-03-03,,,,"
",6,Aitx Mini/Mobile Unit3,AITX Mini/Mobile Unit3 (Taft),Active,Repair: Mini Mobile,646143000,,Hwy 3142,,Taft,LA,70057,Yes,,,,,,,No,No,,No,(713) 476-5648,,,,,,0,,2007-04-01 00:00:00,1,2020-07-24 09:35:12,3492,2025-03-03,,,,"
",7,Aitx Mini/Mobile Unit4,AITX Mini/Mobile Unit4 (Convent),Active,Repair: Mini Mobile,645543000,,7377 Hwy 3214,,Convent,LA,70737,Yes,,,,,,,No,No,,No,(713) 476-5648,,,,,,0,,2007-04-01 00:00:00,1,2020-07-24 09:44:43,3492,2025-03-03,,,,"
",8,Aitx Mini/Mobile Unit5,AITX Mini/Mobile Unit5 (Addis),Active,Repair: Mini Mobile,644997000,,P.O. Box 8,,Addis,LA,70710,Yes,,,,,,,No,No,,No,(713) 476-5648,,,,,,0,,2007-04-01 00:00:00,1,2020-07-24 09:45:35,3492,2025-03-03,,,,"
",10,Aitx Mini/Mobile Unit7,AITX Mini/Mobile Unit7 (Pace),Active,Repair: Mini Mobile,494887000,,,,Pace,FL,nan,Yes,,,,,,,No,No,,No,,,,,,,1005068,,2007-04-01 00:00:00,1,2020-07-24 09:46:21,3492,2025-03-03,,,,"
",3102,Aitx Minimobile,AITX MiniMobile (Emmetsburg),Active,Repair: Mini Mobile,541160000,,,,Emmetsburg,IA,nan,No,,,,,,,No,No,emmetsburg@aitx.com,No,,,,,,,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",863,Aitx Mobile Headquarters,AITX Mobile Headquarters (LaPorte),Active,Repair: Mini Mobile,684779000,,222 N 16th Street,,LaPorte,TX,77571,Yes,,,,,,,No,No,ANunez@aitx.com;OGuerra@aitx.com;CMaharajh@aitx.com;BMcFarland@aitx.com;RVallado@aitx.com; MHarris@aitx.com,No,,,,,,(281) 471-1930,1005068,,2010-10-19 08:27:38,23,2025-01-02 11:21:13,1156,2025-03-03,,,,"
",22,Aitx Mobile Operations,AITX Mobile Operations (Houston),Active,Repair: Mini Mobile,684800000,,2610 Center Street,,Houston,TX,77536,Yes,,,,,,,No,No,,No,(281) 476-1912,,,,,(281) 476-5648,0,,2007-04-01 00:00:00,1,2020-07-24 09:47:55,3492,2025-03-03,,,,"
"Check,2163,Aitx Railcar Services,AITX Railcar Services (Clinton),Active,Repair,369985000,,85 East 4th Street,,Clinton,IN,47842,Yes,,,,,,CSX,No,Yes,tjones2@aitx.com; bkennedy@aitx.com ,No,,,,,,(765) 505-2937,1005068,,2022-01-28 16:09:06,3492,2024-05-21 11:49:37,5715,2025-03-03,,,,"
"Check,2412,Aitx Railcar Services - Milton,AITX Railcar Services - Milton (Milton),Active,Repair,203754000,,1271 N. Industrial Park Rd,,Milton,PA,17847,No,,,,,,NS,No,No,CCrow@aitx.com; ELinn@aitx.com; AGoff@aitx.com,No,,,,,,,1005068,,2023-03-07 09:55:24,5715,2024-05-14 07:08:56,5715,2025-03-03,,,,"
",40,Aitx Railcar Services Llc,AITX Railcar Services LLC (Bude),Active,Repair,489247000,,South Gerard Street,,Bude,MS,39630,Yes,,,,Delivering line CN/NTZR - $970 switch fee for cars with minimal repairs,,""CN, NTZR"",Yes,Yes,bude@aitx.com; cbruce@aitx.com; patrick.vanetten@aitx.com; mbrigmond@aitx.com; acox@aitx.com,Yes,(601) 384-5146,,31.459391,-90.83776,http://www.arleasing.com/images/shoplogos/ari.png,(601) 384-5841,1005068,www.americanrailcar.com,2007-04-01 00:00:00,1,2024-12-02 10:43:42,4519,2025-03-03,,,,"
",67,Aitx Railcar Services Llc,AITX Railcar Services LLC (Goodrich),Active,Repair,681893000,,1718 State Hwy Loop  393,,Goodrich,TX,77335,Yes,,,,Delivering line UP,,UP,Yes,Yes, aatchley@aitx.com; rmcdaniel@aitx.com; goodrich@aitx.com,Yes,(936) 365-2691,,30.596967,-94.946659,http://www.arleasing.com/images/shoplogos/ari.png,(936) 365-2679,1005068,www.americanrailcar.com,2007-04-01 00:00:00,1,2023-02-28 14:46:03,5715,2025-03-03,,,,"
",250,Aitx Railcar Services Llc,AITX Railcar Services LLC (Longview),Active,Repair,665450000,,300 Stevens Street,,Longview,TX,75604,Yes,,,,Delivering line UP,,UP,Yes,Yes,lstinnett@aitx.com; AITX_Longview_Customer_Service@aitx.com; BHughes@aitx.com ,Yes,(903) 759-2007,,32.505217,-94.812179,http://www.arleasing.com/images/shoplogos/ari.png,(903) 759-4406,1005068,www.americanrailcar.com,2007-04-01 00:00:00,1,2024-05-31 07:49:21,5712,2025-03-03,,,,"
",298,Aitx Railcar Services Llc,AITX Railcar Services LLC (N Kansas City),Active,Repair,566799000,,1101 North Bedford Avenue,,N Kansas City,MO,64116,Yes,,2007-10-04 00:00:00,,BNSF/KAW  (Bill cars BNSF-KCITY-KAW),,""BNSF, KAW"",Yes,Yes,ccook@aitx.com; BKesinger@aitx.com; rmoraites@aitx.com;KSchlegel@aitx.com; DHolmes@aitx.com,Yes,(816) 221-4504,,39.127556,-94.569552,http://www.arleasing.com/images/shoplogos/ari.png,(816) 471-2469,1005068,www.americanrailcar.com,2007-04-01 00:00:00,1,2024-12-17 09:52:59,3492,2025-03-03,,,,"
",437,Aitx Railcar Services Llc,AITX Railcar Services LLC (Tennille),Active,Repair,458650000,,754 Joiner Road,,Tennille,GA,31089,Yes,,,,Delivering line NS,,NS,Yes,Yes,MLewis@aitx.com; CLanthrip@aitx.com; ZRios@aitx.com; WBays@aitx.com  ,Yes,(478) 553-1122,,32.929923,-82.822774,http://www.arleasing.com/images/shoplogos/ari.png,(478) 552-0370,1005068,www.americanrailcar.com,2007-04-01 00:00:00,1,2023-03-27 08:34:45,5733,2025-03-03,,,,"
",996,Aitx Railcar Services Llc,AITX Railcar Services LLC (Brookhaven),Active,Repair,487940000,,113 Boyce Drive,,Brookhaven,MS,39601,Yes,,,,,,CN,Yes,No,dezell@aitx.com; MMcMillan@aitx.com; SWest@aitx.com; jgilbert@aitx.com; cthames@aitx.com; ghunter@aitx.com,No,601-384-5146,,31.597859,-90.433913,http://www.arleasing.com/images/shoplogos/ari.png,(601) 384-5841,1005068,www.americanrailcar.com,2014-07-10 09:37:04,49,2024-11-06 08:15:26,3492,2025-03-03,,,,"
",2905,""Aitx Repair Services, Llc"",""AITX Repair Services, LLC (Clinton)"",Active,Repair,369985000,,85 East 4th Street,,Clinton,IN,47842,No,,,,Freight cars only,,CSXT,No,No,tjones2@aitx.com; JHughes@aitx.com; RBerrier@aitx.com,No,,,,,,(217) 371-6417,1005068,,2024-09-20 00:00:00,1,2024-10-14 12:49:23,11,2025-03-03,,,,"
",2906,""Aitx Repair Services, Llc"",""AITX Repair Services, LLC (Milton)"",Active,Repair,203754000,,1271 N Industrial Rd,,Milton,PA,17847,No,,,,Freight cars only,,NS,No,No,elinn@aitx.com; sritter@aitx.com,No,,,,,,(570) 713-9577,1005068,,2024-09-20 00:00:00,1,2024-10-14 12:52:27,11,2025-03-03,,,,"
",2902,Aitx Repair-Kck Mru,AITX Repair-KCK MRU (Kansas City),Active,Repair: Mini Mobile,,,Erman-c/o AITX Rail Services,6600 Thorn Drive,Kansas City,KS,66106,No,,,,,,BNSF,No,No,mfish@aitx.com; mward@aitx.com; mharris@aitx.com,No,,,,,,,1005068,,2024-09-20 00:00:00,1,2024-10-14 12:53:45,11,2025-03-03,,,,"
"Check,24,Akron Rubber Lining,Akron Rubber Lining (Akron),Review,Repair,344700000,,2642 Gilechrist Road,,Akron,OH,44305,No,,,,,,,No,No,,No,(216) 784-8543,,41.084846,-81.515603,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",28,Alabama Railcar,Alabama Railcar (Ozark),Active,Repair,477540000,,1796 Jodie Parker Road,,Ozark,AL,36360,No,,,,,,""CSX Direct - Ozark, AL"",No,No,mbyrd@alarail.com;cedgar@alarail.com;tristen@alarail.com,No,(334) 774-4268,,31.453406,-85.649854,,(334) 774-2621,1008250,www.alabamarailcar.com,2007-04-01 00:00:00,1,2023-12-19 12:42:23,5715,2025-03-03,,,,"
"Check,29,Allrail Corporation,Allrail Corporation (Deer Park),Review,Repair,684773000,,208 East X Street,,Deer Park,TX,77536,No,,,,,,,No,No,,No,(281) 476-9214,,29.700032,-95.114033,,(281) 476-9209,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
"Check,140,Allrail Corporation,Allrail Corporation (Bayport),Review,Repair,684790000,,,,Bayport,TX,nan,No,,,,,,,No,No,,No,,,32.898355,-96.516479,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",3119,Altoona Pipe And Steel,Altoona Pipe and Steel (Altoona),Active,Repair,,,1128 Ninth Avenue,PO Box 112,Altoona,PA,16603,No,,,,,,,No,No,jkleinosky@altoonapipeand steel.com,No,,,,,,(814) 944-1631,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",2461,American Railcar Repair,American Railcar Repair  (Lakota),Active,Repair: Mini Mobile,,,303 3rd St,,Lakota,IA,nan,No,,,,,,,No,No,david@americanrailcarrepair.com  ,No,,,,,,,1009539,,2023-12-08 14:02:08,5715,2024-01-31 06:52:07,5715,2025-03-03,,,,"
"Check,2255,American Rock Salt,American Rock Salt (Mount Morris),Active,Repair: Mini Mobile,184569000,D228,PO Box 190,,Mount Morris,NY,14510,No,,,,Added from Insight,,,No,No,,No,,,,,,,1007891,,2023-01-06 00:00:00,1,2023-01-05 00:00:00,1,2025-03-03,,,,"
",788,Andersons,Andersons (Anaconda),Review,Repair,717530000,,,,Anaconda,MT,nan,No,,,,,,,No,No,sam_anderson@andersoninc.com,No,,,46.122389,-112.799107,,,0,,2009-03-23 11:46:17,49,2014-11-18 16:08:21,49,2025-03-03,,,,"
",2256,Apache Railway - Snowflake Az,Apache Railway - Snowflake AZ (Snowflake),Active,Repair,791181000,APA,4764 Arizona Hwy 277,,Snowflake,AZ,85942,No,,,,Route to Apache from Interchange: BNSF-HOLBK-APA,USD,BNSF,No,No,rickt@apacherailway.com; christinek@apacherailway.com; jaredn@apacherailway.com,No,,,34.4938889,-110.3144444,,(928) 536-4696,1008746,www.apacherailway.com,2023-01-06 00:00:00,1,2024-07-10 14:59:50,3509,2025-03-03,,,,"
",2835,Appalachian Grand Island,Appalachian Grand Island (Grand Island),Active,Repair,,,1209 South Alda,,Grand Island,NE,68802,No,,,,,,UP or BNSF,Yes,No,kkoepke@apprailcar.com,No,,,40.9080128,-98.4675992,,,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",524,Appalachian Railcar,Appalachian Railcar (Charleston),Review,Repair,277570000,,,,Charleston,WV,nan,No,,,,,,,No,No,,No,,,38.353298,-81.635375,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",277,""Appalachian Tank Car Services, Inc."",""Appalachian Tank Car Services, Inc. (Elk Mills)"",Active,Repair,231123000,,702 Elk Mills Road,702 Elk Mills Road,Elk Mills,MD,21920,No,,,,Delivering line CSXT,,CSXT,Yes,No,jreed@apprailcar.com,Yes,,,39.659751,-75.81401,,(410) 620-9920,1008744,www.brcrail.com,2007-04-01 00:00:00,1,2020-07-24 14:34:17,3492,2025-03-03,,,,"
",3076,""Appalachian Tank Car Services, Inc."",""Appalachian Tank Car Services, Inc. (Hinton)"",Active,Repair,,,494 Stokes Dr.,,Hinton,WV,25951,No,,,,Delivering line is  the CSXT,,CSXT,Yes,No,eweikle@apprailcar.com; rweikle@apprailcar.com ,Yes,,,37.6582981,-80.8885584,,(304) 466-5957,0,www.brcrail.com,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
"Rename?,5,Ari Mini/Mobile Unit2,ARI Mini/Mobile Unit2 (Houston),Active,Repair: Mini Mobile,684773000,,2610 Center Street,,Houston,TX,77530,Yes,,,,,,,No,No,,No,(713) 476-5648,,,,,,1005068,,2007-04-01 00:00:00,1,2008-12-30 13:38:26,35,2025-03-03,,,,"
"Rename?,9,Ari Mini/Mobile Unit6,ARI Mini/Mobile Unit6 (Gonzales),Active,Repair: Mini Mobile,645137000,,2021 S Southland Ave,,Gonzales,LA,70723,Yes,,,,,,,No,No,,No,(713) 476-5648,,30.2165193,-90.9286537,,,1005068,,2007-04-01 00:00:00,1,2022-07-21 20:09:58,4786,2025-03-03,,,,"
",2031,""Atc-Boatman, Llc"",""ATC-Boatman, LLC (Pasadena)"",Review,Cleaning,,,Global ICS Plant,10201 Bay Area Blvd.,Pasadena,TX,nan,No,,,,Delivering line UP.  Steve Dunne 713-705-9935 and Jesse Diaz 832-655-7092,,UP,Yes,No,atc@boatmanind.com,No,,,29.611166,-95.055804,,(713) 705-9935,0,www.boatmanind.com/,2016-04-05 09:40:14,49,2016-06-06 14:13:49,49,2025-03-03,,,,"
",33,Atlantico,Atlantico (MX),Review,Repair,,,,,,MX,nan,No,,,,,,,No,No,,No,,,,,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",2422,Atlas Railcar Point Pleasant,Atlas Railcar Point Pleasant (Point Pleasant),Active,Repair,277346000,,2601 Madison Ave,,Point Pleasant,WV,25550,No,,,,D918,,CSXT,No,No,dmercure@atlasrailcar.com,No,,,42.3314,-83.0446,,(210) 777-1482,1009001,www.atlasrailcar.com,2023-05-05 07:46:49,5715,2023-06-28 14:13:57,5715,2025-03-03,,,,"
",2396,Autocom Rail Services,Autocom Rail Services (St. Charles),Active,Repair: Mini Mobile,928440000,AUCX,100 Clark Street,,St. Charles,MO,63301,No,,,,Added from Insight,,,No,No,,No,,,,,,,1007751,,2023-02-02 00:00:00,1,2023-02-02 00:00:00,1,2025-03-03,,,,"
",59,Bayou Railcar,Bayou Railcar (Holden),Active,Repair: Mini Mobile,643537000,,,,Holden,LA,70744,No,,,,,,,No,No,bayouzach@bellsouth.net,No,,,,,,,1005773,,2007-04-01 00:00:00,1,2020-07-01 10:14:20,1,2025-03-03,,,,"
",2001,Beauchan Rail Services,""Beauchan Rail Services (Eldon, TX)"",Review,Repair: Mini Mobile,,,1050 S Fm 565 Rd,,""Eldon, TX"",TX,77523,No,,,,Gerardo Suarez - Inspection services  Location is served by the UP and the BNSF,,,No,No,Bonnie@Beauchan.com; charles@Beauchan.com; brian@beauchan.com,No,,,,,,(713) 455-7400,0,,2014-09-09 13:22:22,49,2015-06-26 09:51:26,49,2025-03-03,,,,"
",2032,Blastech Corp,Blastech Corp (BRANTFORD),Active,Repair,43913000,,57 Old Onondaga Road West,,Brantford,ON,N3S 0H4,No,,,,CIF#A00092398-000  UMLER ID C770  CN Rail Siding FE47,,CN,No,No,rahul.prajapati@tfwarren.com; Brad.Bradish@tfwarren.com; Jonathan.Velenosi@tfwarren.com; rail.coordinators@tfwarren.com,No,CN,,43.1425,-80.19472222,,(519) 756-8222,1006965,www.tfwarren.com,2016-04-12 11:27:18,273,2024-12-09 07:21:14,1039,2025-03-03,,,,"
",3078,Blue Ridge Railcar Repair (Patriot Rail),Blue Ridge Railcar Repair (Patriot Rail) (Keysville),Active,Repair,263963000,,3933 Horseshoe Bend Rd.,,Keysville,VA,23947,No,,,,billing is through Patriot Rail,,NS,No,No,Russ.Clark@patriotrail.com; Matthew.Little@patriotrail.com,No,,,,,,(434) 736-2777,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",36,Bw Services,BW Services (Angleton),Review,Repair,686250000,,P.O. Box 1269,,Angleton,TX,77516,No,,,,,,,No,No,Connie@bwservices.biz; Charlie@bwservices.biz,No,(979) 848-9990,,29.169534,-95.432068,,(979) 848-8800,0,,2007-04-01 00:00:00,1,2010-10-26 12:00:17,23,2025-03-03,,,,"
",516,Bw Services,BW Services (West Lake),Review,Repair,658671000,,3700 Pete Menena RD,,West Lake,LA,70669,No,C,2011-05-31 00:00:00,,,,,No,No,Stacie@BWServices.biz,No,337-882-0306,,30.247868,-93.266576,,(337) 882-0304,0,,2007-04-01 00:00:00,1,2014-04-14 08:26:36,273,2025-03-03,,,,"
",73,Cad Railway Services,""CAD Railway Services (Lachine, Montreal)"",Active,Repair,30004000,,155 Boulevard Montreal-Toronto,,""Lachine, Montreal"",QC,H8S 1B4,No,,,,""shows placing at shop in Lasalle, PQ"",,""CN, CP"",Yes,Yes,lblevings@cadrail.ca; shopreq@cadrail.ca,Yes,(514) 634-4258,,45.4421875,-73.6593963,,(514) 634-3131,1005775,www.cadrail.ca,2007-04-01 00:00:00,1,2024-12-06 11:29:11,3492,2025-03-03,,,,"
",824,""Caltrax, Inc."",""CALTRAX, Inc. (Calgary)"",Active,Repair,,,1805 30th Ave. SE,,Calgary,AB,T2G 4,No,,,,Delivering lines CN and CP.,,""CP, CN"",Yes,No,AmandaS@caltrax.ca  bradm@caltrax.ca; TrevorH@caltrax.ca; chamanc@caltrax.ca  ,Yes,403-234-8659,,51.0262792,-114.0192457,,(403) 444-9497,1005763,www.caltrax.ca,2009-12-15 16:19:11,273,2025-01-16 12:27:52,5715,2025-03-03,,,,"
",2258,Canadian National Railway,CANADIAN NATIONAL RAILWAY (Chicago),Active,Repair,,,P O BOX 71351,,Chicago,IL,60694,No,,,,Added from Insight,USD,,No,No,,No,,,,,,,1008182,,2023-01-06 00:00:00,1,2023-01-05 00:00:00,1,2025-03-03,,,,"
",3077,""Canadian Northern Plains Rail Services, Ltd"",""Canadian Northern Plains Rail Services, Ltd (Camrose)"",Active,Repair,,,PO Box 1174,,Camrose,AB,T4V 1,No,,,,,,,No,No,,No,,,,,,,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",2259,Canadian Pacific Railway Co,Canadian Pacific Railway Co (Detroit),Active,Repair,,CPRS,PO Box 77133,,Detroit,MI,48277,No,,,,Added from Insight,USD,,No,No,,No,,,,,,,1008750,,2023-01-06 00:00:00,1,2023-01-05 00:00:00,1,2025-03-03,,,,"
",69,Cando Rail Services,CANDO Rail Services (North Transcona),Active,Repair,61200,,2675 Day St,,North Transcona,MB,nan,No,,,,""Cars for Cando Rail / Central Manitoba Railway from CN  2675 Day Street  WINSYMAR, MB  Station : North Transcona. MB  FSAC: 64130  SPLC: 061 222 000  ----------------------------------------------------------------  Cars for Cando Rail / Central Manitoba Railway from CPKC  2675 Day Street  North Transcona. MB  Station: North Transcona. MB  FSAC: 5194  SPLC: 061 222 000      Name change effective 4/1/17--Formerly Central Manitoba Railway"",,CN and CP,No,No,matt.walker@candoltd.com; Railcar.MechanicalDisposBadOrders@candorail.com,No,(204) 235-1189,,49.9213036,-97.0043999,,(204) 235-1175,1008300,,2007-04-01 00:00:00,1,2025-02-03 12:06:34,5715,2025-03-03,,,,"
",2088,Canpotex Railcar Maintenance Ltd,Canpotex Railcar Maintenance (Saskatoon),Active,Repair,72250000,,223358 Canpotex Road,PO Box 87,Guernsey,SK,S0K 1W0,No,,,,""Head office: Suite 700 409-3rd Ave, South Saskatoon, SK S7K 5R5, John Duncan: (306) 202-6387, Head Office: (306) 931-2200"",,CN and CPKC,No,No,John.Duncan@canpotex.com; David.Whyman@canpotex.com; Abraham.Idogho@canpotex.com,No,,,,,,(306) 202-6387,1005883,www.canpotex.com,2018-10-24 15:43:32,3492,2020-07-01 10:14:20,1,2025-03-03,,,,"
",75,Cape Fear Rail Car,Cape Fear Rail Car (Fayetteville),Active,Repair,407750000,,2504 Greensboro St,,Fayetteville,NC,28301,No,,,,""Main Phone: (919) 946-8307, Teneal: (910) 578-7787"",,CSX,No,No,thompson@capefearrailcar.com; annie@capefearrailcar.com; teneal@capefearrailcar.com; shawn@capefearrailcar.com,No,,,35.055477,-78.886765,,(919) 946-8307,1008175,www.capefearrailcar.com,2007-04-01 00:00:00,1,2024-12-12 10:59:10,5715,2025-03-03,,,,"
",2406,Guardian Rail - Bay St Louis,Guardian Rail - Bay St Louis (Bay St Louis),Active,Repair,488980000,NFX,3448 Port & Harbor Dr,,Bay St Louis,MS,39520,No,,,,still listed as Andersons for waybill in CSXT,,PBVR via CSXT,No,No,jonathan.vandewaal@Guardian Rail-rail.com; jeremiah.unkel@Guardian Rail-rail.com; william.miller@Guardian Rail-rail.com;matthew.arnold@Guardian Rail-rail.com; James.moree@Guardian Rail-rail.com,No,,,,,,,1009020,,2023-02-15 00:00:00,1,2024-11-14 13:57:10,5735,2025-03-03,,,,"
",2260,Guardian Rail - Danville,Guardian Rail - Danville (Danville),Active,Repair,387650000,NFX,2313 Cannon St,,Danville,IL,61832,No,,,,Added from Insight,,CSX,No,No,ethan.lehman@Guardian Rail-rail.com; russ.blackwell@Guardian Rail-rail.com;anthony.list@Guardian Rail-rail.com; Armando.Segura.Jr@Guardian Rail-rail.com; deanna.johnson@Guardian Rail-rail.com ,No,,,,,,,1009020,,2023-01-06 00:00:00,1,2024-06-03 10:49:29,5712,2025-03-03,,,,"
",2411,Guardian Rail - Grand Island,Guardian Rail - Grand Island (Grand Island),Active,Repair,555733000,,1209 South Alda Rd,,Grand Island,NE,68802,No,,,,,,""BNSF , UP"",No,No,darrell.nelson@Guardian Rail-rail.com; mike.boston@Guardian Rail-rail.com; randy.nielsen@Guardian Rail-rail.com      ,No,,,,,,,1009020,,2023-03-06 14:45:19,5715,2023-03-06 14:45:19,5715,2025-03-03,,,,"
",844,Guardian Rail - Hinton,Guardian Rail - Hinton (Hinton),Active,Repair,,,84 Lincoln Street,,Hinton,WV,25951,No,,,,Delivering line is  the CSXT,,CSXT,Yes,No,emily.weikle@Guardian Rail-rail.com;Robbie.weikle@Guardian Rail-rail.com;Shaler.tate@Guardian Rail-rail.com,Yes,304-466-5828,,37.658055,-80.89127,,(304) 466-5957,1009020,www.brcrail.com,2010-03-29 09:27:40,273,2024-06-20 09:03:36,3492,2025-03-03,,,,"
